Model,SUM из Sales in thousands,AVERAGE из Price in thousands,AVERAGE из Fuel efficiency,AVERAGE из Horsepower
3-Sep,"12,12","26,10","23,00","185,00"
3000GT,"0,11","25,45","21,00","161,00"
300M,"30,70","29,19","23,00","253,00"
323i,"19,75","26,99","26,00","170,00"
328i,"9,23","33,40","24,00","193,00"
4Runner,"68,41","22,29","23,00","150,00"
5-Sep,"9,19","33,12","23,00","170,00"
528i,"17,53","38,90","25,00","193,00"
A4,"20,40","23,99","27,00","150,00"
A6,"18,78","33,95","22,00","200,00"
A8,"1,38","62,00","21,00","310,00"
Accent,"41,18","9,70","31,00","92,00"
Accord,"230,90","15,35","27,00","135,00"
Alero,"80,26","18,27","27,00","150,00"
Altima,"88,09","20,39","25,00","155,00"
Aurora,"14,69","36,23","22,00","250,00"
Avalon,"63,85","25,55","26,00","210,00"
Avenger,"4,73","19,05","24,00","163,00"
Beetle,"49,46","15,90","26,00","115,00"
Bonneville,"35,95","23,76","24,00","205,00"
Boxter,"8,98","41,43","22,00","217,00"
Bravada,"20,02","31,60","19,00","190,00"
Breeze,"5,24","16,08","27,00","132,00"
C-Class,"18,39","31,75","26,00","185,00"
C70,"3,49","45,50","23,00","236,00"
Cabrio,"9,57","19,99","26,00","115,00"
Camaro,"26,40","24,34","25,00","200,00"
Camry,"247,99","17,52","27,00","133,00"
Caravan,"181,75","19,57","24,00","150,00"
Carrera Cabriolet,"1,87","74,97","23,00","300,00"
Carrera Coupe,"1,28","71,02","21,00","300,00"
Catera,"11,19","31,01","22,00","200,00"
Cavalier,"145,52","13,26","27,00","115,00"
Celica,"33,27","16,88","31,00","140,00"
Century,"91,56","21,98","25,00","175,00"
Cherokee,"80,56","21,62","20,00","190,00"
Cirrus,"32,31","16,48","27,00","132,00"
Civic,"199,69","12,89","32,00","106,00"
CL,"14,11","0,00","26,00","225,00"
CL500,"0,95","85,50","20,00","302,00"
CLK Coupe,"11,59","41,60","26,00","215,00"
Concorde,"31,15","22,25","26,00","200,00"
Continental,"13,80","39,08","22,00","275,00"
Contour,"35,07","17,04","25,00","170,00"
Corolla,"142,54","13,11","33,00","120,00"
Corvette,"17,95","45,71","22,00","345,00"
Cougar,"26,53","16,54","30,00","125,00"
CR-V,"73,20","20,55","24,00","146,00"
Crown Victoria,"63,40","22,20","21,00","200,00"
Cutlass,"1,11","18,15","25,00","150,00"
Dakota,"111,31","16,98","19,00","120,00"
DeVille,"63,73","39,90","22,00","275,00"
Diamante,"5,71","25,00","22,00","210,00"
Durango,"101,32","26,31","17,00","230,00"
E-Class,"27,60","49,90","25,00","221,00"
Eclipse,"42,54","19,05","24,00","154,00"
Elantra,"66,69","11,80","27,00","140,00"
Eldorado,"6,54","39,67","22,00","275,00"
ES300,"24,07","31,51","23,00","210,00"
Escalade,"14,79","46,23","15,00","255,00"
Escort,"70,23","12,07","30,00","110,00"
Expedition,"125,34","36,14","16,00","240,00"
Explorer,"276,75","31,93","19,00","210,00"
F-Series,"540,56","26,94","18,00","220,00"
Firebird,"19,91","25,31","25,00","200,00"
Focus,"175,67","12,32","30,00","107,00"
Forester,"33,03","20,10","24,00","165,00"
Frontier,"65,01","17,89","18,00","170,00"
Galant,"55,62","17,36","25,00","145,00"
Golf,"9,76","14,90","26,00","115,00"
Grand Am,"131,10","19,72","25,00","175,00"
Grand Cherokee,"157,04","26,90","19,00","195,00"
Grand Marquis,"81,17","22,61","21,00","200,00"
Grand Prix,"92,36","21,67","25,00","195,00"
GS300,"12,70","37,81","23,00","225,00"
GS400,"3,33","46,31","21,00","300,00"
GTI,"5,60","17,50","26,00","115,00"
I30,"23,71","29,47","25,00","227,00"
Impala,"108,00","18,89","27,00","180,00"
Integra,"16,92","21,50","28,00","140,00"
Intrepid,"88,03","22,51","23,60","202,00"
Intrigue,"38,55","24,15","23,60","215,00"
Jetta,"83,72","16,70","26,00","115,00"
Land Cruiser,"9,84","51,73","15,00","230,00"
LeSabre,"83,26","27,89","25,00","205,00"
LHS,"13,46","28,34","23,00","253,00"
LS,"49,99","15,01","28,00","137,00"
LS400,"6,38","54,01","22,00","290,00"
Lumina,"24,63","18,89","25,00","175,00"
LW,"8,47","18,84","27,00","137,00"
LX470,"9,13","60,11","15,00","230,00"
M-Class,"28,98","35,30","20,00","215,00"
Malibu,"135,13","16,54","25,00","170,00"
Maxima,"79,85","26,25","25,00","222,00"
Metro,"21,86","9,24","45,00","55,00"
Mirage,"26,23","13,99","30,00","113,00"
Montana,"39,57","25,64","23,00","185,00"
Monte Carlo,"42,59","19,39","27,00","180,00"
Montero,"11,34","31,81","18,00","200,00"
Montero Sport,"39,35","22,53","20,00","173,00"
Mountaineer,"27,61","27,56","18,00","210,00"
Mustang,"113,37","21,56","24,00","190,00"
Mystique,"14,35","16,24","28,00","125,00"
Navigator,"22,93","42,66","15,00","300,00"
Neon,"108,77","12,64","29,00","132,00"
Odyssey,"76,03","26,00","23,00","210,00"
Outback,"47,11","22,70","25,00","165,00"
Park Avenue,"27,85","31,97","24,00","205,00"
Passat,"51,10","21,20","27,00","150,00"
Passport,"12,86","26,60","19,00","205,00"
Pathfinder,"42,57","29,30","19,00","170,00"
Prizm,"32,30","13,96","33,00","120,00"
Prowler,"1,87","43,00","21,00","253,00"
Quest,"27,31","26,40","21,00","170,00"
Ram Pickup,"227,06","19,46","17,00","230,00"
Ram Van,"31,04","18,58","16,00","175,00"
Ram Wagon,"16,77","21,32","15,00","175,00"
Ranger,"220,65","12,05","23,00","119,00"
RAV4,"25,11","16,89","27,00","127,00"
Regal,"39,35","25,30","23,00","240,00"
RL,"8,59","42,00","22,00","210,00"
RX300,"51,24","34,61","21,00","220,00"
S-Class,"16,77","69,70","21,00","275,00"
S-Type,"15,47","42,80","21,00","240,00"
S40,"16,96","23,40","25,00","160,00"
S70,"15,25","27,50","25,00","168,00"
S80,"18,97","36,00","24,00","201,00"
Sable,"67,96","19,04","24,00","153,00"
SC,"24,55","12,54","33,00","100,00"
Sebring Conv.,"32,78","24,50","24,00","168,00"
Sebring Coupe,"7,85","19,84","24,00","163,00"
Sentra,"42,64","13,50","30,00","126,00"
Seville,"15,94","44,48","22,00","275,00"
Sienna,"65,12","22,37","22,00","194,00"
Silhouette,"24,36","25,35","22,00","185,00"
SL,"80,62","10,69","33,00","100,00"
SL-Class,"3,31","82,60","20,00","302,00"
SLK,"8,00","38,90","26,00","190,00"
SLK230,"1,53","41,00","27,00","185,00"
Sonata,"29,45","15,00","25,00","148,00"
Stratus,"71,19","20,23","24,00","168,00"
Sunfire,"51,65","21,61","27,00","150,00"
SW,"5,22","14,29","31,00","124,00"
Tacoma,"84,09","11,53","23,00","142,00"
Taurus,"245,82","17,89","24,00","155,00"
TL,"39,38","28,40","25,00","225,00"
Town & Country,"53,48","0,00","23,60","0,00"
Town car,"48,91","43,33","21,00","215,00"
V40,"3,55","24,40","25,00","160,00"
V70,"17,53","28,80","25,00","168,00"
Villager,"20,38","22,51","21,00","170,00"
Viper,"0,92","69,73","16,00","450,00"
Voyager,"24,16","18,85","24,00","150,00"
Windstar,"155,79","21,41","21,00","150,00"
Wrangler,"55,56","14,46","17,00","120,00"
Xterra,"54,16","22,80","18,00","170,00"
Итого,"8 320,70","27,04","23,84","184,76"
