Manufacturer,SUM из Sales in thousands,AVERAGE из Price in thousands,AVERAGE из Fuel efficiency,AVERAGE из Horsepower
Acura,"79,01","22,98","25,25","200,00"
Audi,"40,56","39,98","23,33","220,00"
BMW,"46,51","33,10","25,00","185,33"
Buick,"242,02","26,78","24,25","206,25"
Cadillac,"112,18","40,25","20,60","256,00"
Chevrolet,"554,37","20,02","28,44","171,11"
Chrysler,"201,72","20,08","24,37","167,00"
Dodge,"910,15","24,21","20,42","199,55"
Ford,"2 022,64","21,05","22,82","170,09"
Honda,"592,67","20,28","25,00","160,40"
Hyundai,"137,33","12,17","27,67","126,67"
Infiniti,"23,71","29,47","25,00","227,00"
Jaguar,"15,47","42,80","21,00","240,00"
Jeep,"293,15","20,99","18,67","168,33"
Lexus,"106,84","44,06","20,83","245,83"
Lincoln,"85,63","41,69","19,33","263,33"
Mercedes-Benz,"117,13","52,92","23,44","232,22"
Mercury,"238,00","20,75","23,67","163,83"
Mitsubishi,"180,90","22,17","22,86","165,14"
Nissan,"399,64","22,36","22,29","169,00"
Oldsmobile,"178,99","25,62","23,10","190,00"
Plymouth,"64,00","22,64","25,25","166,75"
Pontiac,"370,53","22,95","24,83","185,00"
Porsche,"12,13","62,47","22,00","272,33"
Saab,"21,31","29,61","23,00","177,50"
Saturn,"168,85","14,27","30,40","119,60"
Subaru,"80,14","21,40","24,50","165,00"
Toyota,"740,21","21,98","25,22","160,67"
Volkswagen,"209,21","17,70","26,17","120,83"
Volvo,"75,74","30,93","24,50","182,17"
Итого,"8 320,70","27,04","23,84","184,76"
